CEM;Codice Edificio Regione Piemonte;V_PRO;Ente di competenza;Comune;Cod Comune;Stato esistenza edificio;Stato compilazione;Edificio principale;V_USO;Flag Statale;Frazione o Localita`;V_INDIRIZZO;Ente proprietario edificio;Ente proprietario edificio;GRADO;C_SO1;GRA_SO1;DENO SO1;COD_SEDEM_SO1;COD_SEDERP_SO1;C_SO2;GRA_SO2;DENO SO2;COD_SEDEM_SO2;COD_SEDERP_SO2;C_SO3;GRA_SO3;DENO SO3;COD_SEDEM_SO3;COD_SEDERP_SO3;C_SO4;GRA_SO4;DENO SO4;COD_SEDEM_SO4;COD_SEDERP_SO4;C_SO5;GRA_SO5;DENO SO5;COD_SEDEM_SO5;COD_SEDERP_SO5;C_SO6;GRA_SO6;DENO SO6;COD_SEDEM_SO6;COD_SEDERP_SO6
TO100526;0011710021;TO;Comune;Orbassano;001171;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;Capoluogo;STRADA VOLVERA, 44/A;04. Comune;Si;PRI-;2;PRI;ANNA FRANK;TOEE8AH02Q;0011712001;;;;;
TO100527;0011990004;TO;Comune;Pont Canavese;001199;Utilizzato per uso scolastico;In compilazione;No;PALESTRA;SI;capoluogo;Via Roma, 11;04. Comune;Si;SEC 1-;3;SEC 1¯;P. MARTINETTI;TOMM81402B;0011993001;;;;;
TO100528;0012170012;TO;Comune;Rivarolo Canavese;001217;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;capoluogo;Strada Vecchia Vesignano, sn;07. SocietÖ, fondazione o persone private ;Si;INF-;1;INF;PETER PAN;TOAA8AC01A;0012171012;;;;;
TO100529;0012920009;TO;Comune;Venaria Reale;001292;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;capoluogo;PIAZZA VITTORIO VENETO, 2;04. Comune;Si;INF-PRI-;1;INF;E. DE AMICIS;TOAA8A303C;0012921010;2;PRI;E. DE AMICIS;TOEE8A301G;0012922005
TO100530;0012920014;TO;Comune;Venaria Reale;001292;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;capoluogo;VIA GIOLITTI GIOVANNI, 8;04. Comune;Si;PRI-;2;PRI;VIII MARZO;TOEE8A303N;0012922006;;;;;
TO100531;0012950003;TO;Comune;Vestigne`;001295;Utilizzato per uso scolastico;In compilazione;No;DIDATTICA;SI;Capoluogo;Viale Cesare Torazzi, 3;04. Comune;Si;SEC 1-;3;SEC 1¯;CESARE TORAZZI;TOMM894028;0012953001;;;;;
TO100532;0013000003;TO;Comune;Villafranca Piemonte;001300;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;No;capoluogo;Via Badariotti, 11;07. SocietÖ, fondazione o persone private ;Si;INF-;1;INF;VILLAFRANCA PIEMONTE;TO1A27800C;0013001001;;;;;
TO100534;0012620003;TO;Comune;Sciolze;001262;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Strada Marentino, 10;04. Comune;Si;PRI-;2;PRI;DI SCIOLZE;TOEE85004N;0012622001;;;;;
TO100536;0011940016;TO;Comune;Piossasco;001194;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;capoluogo;VIA CAVOUR, 77;04. Comune;Si;INF-;1;INF;MONTESSORI;TOAA8AD038;0011941009;;;;;
TO100537;0012170013;TO;Comune;Rivarolo Canavese;001217;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Bicocca, 61;04. Comune;Si;INF-;1;INF;.;TOAA8AC04D;0012171013;;;;;
TO100538;0010280008;TO;Comune;Borgaro Torinese;001028;Utilizzato per uso scolastico;In compilazione;No;PALESTRA;SI;;Via Canavere, 49;04. Comune;Si;PRI-;2;PRI;N. GROSA CANAVERE;TOEE89102T;0010282002;;;;;
TO100539;0010470010;TO;Comune;Caluso;001047;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;Capoluogo;VIA UNITA` D`ITALIA, 7;04. Comune;Si;SEC 1-;3;SEC 1¯;G. GOZZANO;TOMM12100A;0010473001;;;;;
TO100540;0012410001;TO;Comune;Sangano;001241;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via G.Gino, 20;04. Comune;Si;INF-;1;INF;DI SANGANO;TOAA86904D;0012411002;;;;;
TO100541;0010130014;TO;Provincia;Avigliana;001013;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;VIA NICOL GIOVANNI BATTISTA, 1;03. Provincia;Si;SEC 2-SEC 2-;4;SEC 2¯;GALILEO GALILEI;TOTD05000T;0010134001;4;SEC 2;GALILEO GALILEI;TOTD05000T;0010134005
TO100542;0012720309;TO;Comune;Torino;001272;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;Capoluogo;VIA FOSSANO, 8;04. Comune;Si;INF-;1;INF;LA FRECCIA AZZURRA;TOAA81701N;0012721123;;;;;
TO100543;0012720310;TO;Comune;Torino;001272;Utilizzato per uso scolastico;Validato;No;DIDATTICA;SI;Capoluogo;orvieto, 1/5-7-9;04. Comune;Si;INF-;1;INF;ELSA MORANTE;TOAA00401L;0012721327;;;;;;;;;;;;;;;
TO100544;0011250028;TO;Provincia;Ivrea;001125;Utilizzato per uso scolastico;In Modifica;No;PALESTRA;SI;capoluogo;Colle Bellavista, s.n.;03. Provincia;Si;SEC 2-SEC 2-;4;SEC 2¯;OLIVETTI;TOTF01201A;0011254007;4;SEC 2;OLIVETTI;TOTF01251Q;0011254008;;;;;;;;;;
TO100545;0011250029;TO;Provincia;Ivrea;001125;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;capoluogo;Colle Bellavista, s.n.;03. Provincia;Si;SEC 2-SEC 2-;4;SEC 2¯;OLIVETTI;TOTF01201A;0011254007;4;SEC 2;OLIVETTI;TOTF01251Q;0011254008;;;;;;;;;;
TO100546;0011250030;TO;Provincia;Ivrea;001125;Utilizzato per uso scolastico;In Modifica;No;PALESTRA;SI;capoluogo;Colle Bellavista, s.n.;03. Provincia;Si;SEC 2-SEC 2-;4;SEC 2¯;OLIVETTI;TOTF01201A;0011254007;4;SEC 2;OLIVETTI;TOTF01251Q;0011254008;;;;;;;;;;
TO100547;0012720317;TO;Provincia;Torino;001272;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;CAPOLUOGO;CORSO ALIGHIERI DANTE, 80;03. Provincia;Si;SEC 2-;4;SEC 2¯;VITTORIO ALFIERI;TOPC10000P;0012724117;;;;;;;;;;;;;;;
TO100548;0012720311;TO;Provincia;Torino;001272;Utilizzato per uso scolastico;In Modifica;No;PALESTRA;SI;torino;via salerno, 60;03. Provincia;Si;SEC 2-SEC 2-;4;SEC 2¯;G. GUARINI;TOTL02000C;0012724013;4;SEC 2;G. GUARINI;TOTL02050T;0012724014;;;;;;;;;;
TO100549;0011910036;TO;Provincia;Pinerolo;001191;Utilizzato per uso scolastico;In Modifica;Sç;DIDATTICA;SI;capoluogo;strada dei rochis, 25;03. Provincia;Si;SEC 2-SEC 2-SEC 2-;4;SEC 2¯;M. BUNIVA;TOSL038019;0011914033;4;SEC 2;M. BUNIVA;TOTD038018;0011914003;4;SEC 2;M. BUNIVA;TOTD038018;0011914013;;;;;
TO100550;0012720312;TO;Provincia;Torino;001272;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;capoluogo;Via Parini, 8;04. Comune;Si;SEC 2-;4;SEC 2¯;MASSIMO D'AZEGLIO;TOPC070004;0012724119;;;;;;;;;;;;;;;
TO100551;0012720313;TO;Provincia;Torino;001272;Utilizzato per uso scolastico;In Modifica;No;PALESTRA;SI;-;via s. ottavio , 9-11;04. Comune;Si;SEC 2-SEC 2-;4;SEC 2¯;GIOBERTI;TOPC090009;0012724120;4;SEC 2;GIOBERTI;TOPC090009;0012724371;;;;;;;;;;
TO100552;0012720175;TO;Provincia;Torino;001272;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;torino;via giulia di barolo , 33;04. Comune;Si;SEC 2-;4;SEC 2¯;P. GOBETTI;TOPS340002;0012724342;;;;;;;;;;;;;;;
TO100553;0012720318;TO;Provincia;Torino;001272;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;capoluogo;VIA FRATTINI, 11/15;04. Comune;Si;SEC 2-;4;SEC 2¯;MAJORANA;TOPS00301D;0012724030;;;;;;;;;;;;;;;
TO100554;0012720181;TO;Provincia;Torino;001272;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;capoluogo;Via frattini, 11/15;04. Comune;Si;SEC 2-;4;SEC 2¯;MAJORANA;TOPS00301D;0012724030;;;;;;;;;;;;;;;
TO100555;0011910037;TO;Provincia;Pinerolo;001191;Utilizzato per uso scolastico;In Modifica;Sç;DIDATTICA;SI;capoluogo;VIALE KENNEDY, 30;04. Comune;Si;SEC 2-SEC 2-SEC 2-;4;SEC 2¯;PORRO - ALBERTI;TORI014015;0011914001;4;SEC 2;PORRO - ALBERTI;TORI014015;0011914036;4;SEC 2;PORRO - ALBERTI;TOTF014012;0011914009;;;;;
TO100556;0011910038;TO;Provincia;Pinerolo;001191;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;capoluogo;VIALE KENNEDY, 30;04. Comune;Si;SEC 2-SEC 2-;4;SEC 2¯;PORRO - ALBERTI;TORI014015;0011914001;4;SEC 2;PORRO - ALBERTI;TOTF014012;0011914009;;;;;;;;;;
TO100557;0012650023;TO;Provincia;Settimo Torinese;001265;Utilizzato per uso scolastico;In Modifica;No;PALESTRA;SI;CAPOLUOGO;VIA LEINI` , 54;03. Provincia;Si;SEC 2-SEC 2-SEC 2-SEC 2-;4;SEC 2¯;8 MARZO;TOPS03101N;0012654007;4;SEC 2;8 MARZO;TOTD03101D;0012654003;4;SEC 2;GALILEO FERRARIS;TORC01901G;0012654004;4;SEC 2;GALILEO FERRARIS;TOTD01901V;0012654009
TO100558;0012650022;TO;Provincia;Settimo Torinese;001265;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;CAPOLUOGO;VIA LEINI` , 54;03. Provincia;Si;SEC 2-;4;SEC 2¯;GALILEO FERRARIS;TORI019018;0012654001;;;;;;;;;;;;;;;
TO100559;0012720314;TO;Provincia;Torino;001272;Utilizzato per uso scolastico;In Modifica;No;PALESTRA;SI;capoluogo;VIA PONCHIELLI AMILCARE, 56;03. Provincia;Si;SEC 2-SEC 2-SEC 2-;4;SEC 2¯;BODONI - PARAVIA;TORI013019;0012724005;4;SEC 2;G. B. BODONI;TOTF013016;0012724052;4;SEC 2;G. B. BODONI;TOTF01350E;0012724339
TO100560;0012720315;TO;Provincia;Torino;001272;Utilizzato per uso scolastico;In Modifica;No;PALESTRA;SI;capoluogo;VIA PACINI GIOVANNI, 28;03. Provincia;Si;SEC 2-;4;SEC 2¯;A. EINSTEIN;TOPS018017;0012724025;;;;;;;;;;
TO100562;0011300007;TO;Comune;Leini;001130;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;CAPOLUOGO;"Succursale ""g. rodari"" via atzei, 13";04. Comune;Si;INF-;1;INF;.;TOAA86101Q;0011301004;;;;;;;;;;
TO100563;0012140012;TO;Comune;Rivalta Di Torino;001214;Utilizzato per uso scolastico;In compilazione;Sç;DIDATTICA;SI;PASTA;VIA LEOPARDI, 13;04. Comune;Si;PRI-;2;PRI;IQBAL MASIH;TOEE840032;0012142005;;;;;;;;;;
TO100564;0012140011;TO;Comune;Rivalta Di Torino;001214;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;SANGONE;VIA BRODOLINI GIACOMO, snc;04. Comune;Si;INF-;1;INF;POLLICINO;TOAA84102G;0012141007;;;;;;;;;;
TO100565;0012140013;TO;Comune;Rivalta Di Torino;001214;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;No;CAPOLUOGO;VIA REGINA MARGHERITA , 2;04. Comune;Si;INF-;1;INF;G. BIONDA;TO1A26900N;0012141002;;;;;;;;;;
TO100566;0010010005;TO;Comune;Aglie`;001001;Utilizzato per uso scolastico;Validato;No;PALESTRA;SI;capoluogo;PIAZZA MARTIRI DELLA LIBERTA`, 1;04. Comune;Si;PRI-SEC 1-;2;PRI;.;TOEE091108;0010012002;3;SEC 1;OLIVETTI;TOMM29201A;0010013001;;;;;
TO100567;0011200032;TO;Comune;Grugliasco;001120;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;grugliasco;via milano, 41;04. Comune;Si;INF-;1;INF;ANNA BECHIS;TOAA81201E;0011201002;;;;;;;;;;
TO100568;0012720319;TO;Provincia;Torino;001272;Utilizzato per uso scolastico;In Modifica;No;PALESTRA;SI;capoluogo;Via lavagna, 8;04. Comune;Si;SEC 2-;4;SEC 2¯;GALILEI - FERRARI;TORI04752V;0012724268;;;;;;;;;;
TO100569;0010380008;TO;Comune;Bruino;001038;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;capoluogo;VIALE CIPRESSI, 30;04. Comune;Si;PRI-;2;PRI;ALBA SERENA;TOEE837025;0010382002;;;;;;;;;;
TO100572;0010410003;TO;Comune;Buriasco;001041;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;No;capoluogo;via don mensa, 2;04. Comune;Si;INF-;1;INF;.;TO1A210006;0010411001;;;;;;;;;;
TO100574;0012720022;TO;Comune;Torino;001272;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Capoluogo;VIA MAGNOLIE (DELLE), 15;04. Comune;Si;INF-;1;INF;.;TOAA81001V;0012721166;;;;;;;;;;
TO100575;0013090008;TO;Comune;Vinovo;001309;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;via garibaldi, 3/b;04. Comune;Si;INF-;1;INF;EMANUELE LUZZATI;TOAA87401T;0013091003;;;;;;;;;;
TO100576;0011150016;TO;Comune;Giaveno;001115;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;GIAVENO;VIA SAN SEBASTIANO, 3;04. Comune;Si;PRI-;2;PRI;ANNA FRANK;TOEE86803T;0011152001;;;;;;;;;;
TO100577;0012800001;TO;Comune;Trofarello;001280;Utilizzato per uso scolastico;Validato;No;MENSA;SI;trofarello;via cesare battisti , 18;04. Comune;Si;PRI-;2;PRI;RODARI;TOEE832011;0012802002;;;;;;;;;;
TO100578;0011930006;TO;Comune;Piobesi Torinese;001193;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;VIA XXV APRILE, 8;04. Comune;Si;PRI-;2;PRI;.;TOEE83402N;0011932001;;;;;;;;;;
TO100579;0012920015;TO;Provincia;Venaria Reale;001292;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;venaria reale;via bruno buozzi, 16;04. Comune;Si;SEC 2-SEC 2-;4;SEC 2¯;FILIPPO JUVARRA;TOPS30000G;0012924003;4;SEC 2;FILIPPO JUVARRA;TOPS30000G;0012924004;;;;;
TO100580;0012920016;TO;Provincia;Venaria Reale;001292;Utilizzato per uso scolastico;In Modifica;No;PALESTRA;SI;venaria reale;via bruno buozzi, 16;04. Comune;Si;SEC 2-SEC 2-;4;SEC 2¯;FILIPPO JUVARRA;TOPS30000G;0012924003;4;SEC 2;FILIPPO JUVARRA;TOPS30000G;0012924004;;;;;
TO100581;0010780020;TO;Provincia;Chieri;001078;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;capoluogo;via montessori, 4/6;03. Provincia;Si;SEC 2-SEC 2-;4;SEC 2¯;B. VITTONE;TOTD02801N;0010784001;4;SEC 2;B. VITTONE;TOTD02801N;0010784004;;;;;
TO100582;0010780021;TO;Provincia;Chieri;001078;Utilizzato per uso scolastico;In Modifica;No;PALESTRA;SI;capoluogo;via montessori, 4/6;03. Provincia;Si;SEC 2-SEC 2-SEC 2-;4;SEC 2¯;B. VITTONE;TORC02801A;0010784007;4;SEC 2;B. VITTONE;TOTD02801N;0010784001;4;SEC 2;B. VITTONE;TOTD02801N;0010784004
TO100583;0010780022;TO;Provincia;Chieri;001078;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;capoluogo;via montessori, 2;03. Provincia;Si;SEC 2-;4;SEC 2¯;MONTI;TOPS18000P;0010784002;;;;;;;;;;
TO100584;0012190036;TO;Provincia;Rivoli;001219;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;CAPOLUOGO;VIA XX SETTEMBRE, 14/A;03. Provincia;Si;SEC 2-SEC 2-;4;SEC 2¯;GIULIO NATTA;TOPS05901D;0012194013;4;SEC 2;GIULIO NATTA;TOTF05901G;0012194009;;;;;
TO100585;0012100005;TO;Comune;Quincinetto;001210;Utilizzato per uso scolastico;In compilazione;No;DIDATTICA;SI;CAPOLUOGO;VIA BUAT ALBIANA , 13;04. Comune;Si;INF-;1;INF;.;TOAA849037;0012101002;;;;;;;;;;
TO100586;0011480006;TO;Comune;Mazze`;001148;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;CAPOLUOGO;VIA CASTONE, snc;04. Comune;Si;INF-;1;INF;MARIA DELGROSSO;TOAA08403G;0011481005;;;;;;;;;;
TO100587;0012480003;TO;Comune;San Maurizio Canavese;001248;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;SAN MAURIZIO CANAVESE;VIA BO, S.N. ;04. Comune;Si;INF-;1;INF;.;TOAA831065;0012481009;;;;;;;;;;
TO100588;0010930004;TO;Comune;Condove;001093;Utilizzato per uso scolastico;Validato;No;MENSA;SI;Capoluogo;PIAZZA MARTIRI DELLA LIBERTA`, 5;04. Comune;Si;PRI-;2;PRI;COSIMO BERTACCHI;TOEE82501T;0010932003;;;;;;;;;;
TO100591;0010040003;TO;Comune;Albiano D`Ivrea;001004;Utilizzato per uso scolastico;Validato;No;MENSA;SI;capoluogo;VIA RICCARDI, 6;04. Comune;Si;INF-;1;INF;.;TOAA894079;0010041002;;;;;;;;;;
TO100592;0012910002;TO;Comune;Venaus;001291;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;capoluogo;via antica reale, 33;04. Comune;Si;INF-;1;INF;VENAUS;TOAA880037;0012911001;;;;;;;;;;
TO100595;0010780025;TO;Comune;Chieri;001078;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;capoluogo;VIA BENEDETTO CROCE, 5;04. Comune;Si;INF-;1;INF;CELESTINA COSTA;TOAA8AV012;0010781004;;;;;;;;;;
TO100596;0011910039;TO;Provincia;Pinerolo;001191;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;VIA BATTISTI, 10;04. Comune;Si;SEC 2-;4;SEC 2¯;M. BUNIVA;TOTD038018;0011914035;;;;;;;;;;
TO100597;0012150003;TO;Comune;Riva Presso Chieri;001215;Utilizzato per uso scolastico;Attesa Validazione per Modifica;No;MENSA;SI;CAPOLUOGO ;VIA SAN GIOVANNI , 23;04. Comune;Si;PRI-SEC 1-;2;PRI;RIVA PRESSO CHIERI;TOEE8AU03D;0012152001;3;SEC 1;.;TOMM8AU01A;0012153001;;;;;
TO100598;0012520003;TO;Comune;San Raffaele Cimena;001252;Utilizzato per uso scolastico;Attesa Validazione;Unico;DIDATTICA;SI;CAPOLUOGO;VIA PIEMONTE, 19;04. Comune;Si;INF-;1;INF;.;TOAA850019;0012521002;;;;;;;;;;
TO100599;0011560019;TO;Comune;Moncalieri;001156;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;b.ga s. maria;via saluzzo , 4;04. Comune;Si;INF-;1;INF;G. RODARI;TOAA885018;0011561023;;;;;;;;;;;;;;;;;;;;
TO100600;0012280003;TO;Comune;Rosta;001228;Utilizzato per uso scolastico;In compilazione;Sç;DIDATTICA;SI;CAPOLUOGO;VIA BUCET , 20;04. Comune;Si;INF-;1;INF;ELSA MORANTE;TOAA8AF03X;0012281002;;;;;;;;;;;;;;;;;;;;
TO100601;0012720321;TO;Provincia;Torino;001272;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;capoluogo;Via Rocca (della), 7;04. Comune;Si;SEC 2-;4;SEC 2¯;ALDO PASSONI;TOSD02000L;0012724021;;;;;;;;;;;;;;;;;;;;
TO100602;0011910041;TO;Provincia;Pinerolo;001191;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;Pinerolo;Via Merlo C., 2;03. Provincia;Si;SEC 2-;4;SEC 2¯;ARTURO PREVER;TORH04401D;0011914002;;;;;;;;;;;;;;;;;;;;
TO100603;0011910040;TO;Provincia;Pinerolo;001191;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;Pinerolo;Via Merlo C., 2;04. Comune;Si;SEC 2-;4;SEC 2¯;ARTURO PREVER;TORH04401D;0011914002;;;;;;;;;;;;;;;;;;;;
TO100604;0010450009;TO;Comune;Buttigliera Alta;001045;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;No;capoluogo;VIA REANO, 2;07. SocietÖ, fondazione o persone private ;Si;INF-;1;INF;CADUTI IN GUERRA;TO1A15100G;0010451002;;;;;;;;;;;;;;;;;;;;
TO100605;0012720322;TO;Comune;Torino;001272;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;capoluogo;Via Perrone, 7/bis;04. Comune;Si;SEC 2-SEC 2-;4;SEC 2¯;BALBIS;TORC090001;0012724007;4;SEC 2;VALENTINO BOSSO - AUGUSTO MONTI;TORC053013;0012724323;;;;;;;;;;;;;;;
TO100606;0010980014;TO;Provincia;Cuorgne`;001098;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;via cappa, 11;04. Comune;Si;SEC 2-;4;SEC 2¯;25 APRILE;TOTD026023;0010984002;;;;;;;;;;;;;;;;;;;;
TO100607;0010980015;TO;Provincia;Cuorgne`;001098;Utilizzato per uso scolastico;In Modifica;Unico;PALESTRA;SI;CAPOLUOGO;via cappa, 12;04. Comune;Si;SEC 2-;4;SEC 2¯;25 APRILE;TOTD026023;0010984002;;;;;;;;;;;;;;;;;;;;
TO100608;0011910042;TO;Provincia;Pinerolo;001191;Utilizzato per uso scolastico;In Modifica;No;PALESTRA;SI;Pinerolo;VIA C. MERLO, 2;04. Comune;Si;SEC 2-;4;SEC 2¯;ARTURO PREVER;TORH04401D;0011914002;;;;;;;;;;;;;;;;;;;;
TO100609;0011910043;TO;Provincia;Pinerolo;001191;Utilizzato per uso scolastico;In Modifica;No;PALESTRA;SI;Pinerolo;Strada dei Rochis, 25;03. Provincia;Si;SEC 2-;4;SEC 2¯;ARTURO PREVER;TORH04401D;0011914002;;;;;;;;;;;;;;;;;;;;
TO100610;0012410004;TO;Provincia;Sangano;001241;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;sangano;VIA SAN GIORGIO , 10;03. Provincia;Si;SEC 2-;4;SEC 2¯;VITO SCAFIDI;TOPS10001V;0012414001;;;;;;;;;;;;;;;;;;;;
TO100611;0010470011;TO;Provincia;Caluso;001047;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;CAPOLUOGO;PIAZZA MAZZINI GIUSEPPE, 4;04. Comune;Si;SEC 2-;4;SEC 2¯;C. UBERTINI;TORA00601E;0010474002;;;;;;;;;;;;;;;;;;;;
TO100612;0010860015;TO;Provincia;Cirie`;001086;Utilizzato per uso scolastico;In Modifica;No;PALESTRA;SI;CAPOLUOGO;VIA SAN GIOVANNI BOSCO, 9;03. Provincia;Si;SEC 2-SEC 2-SEC 2-;4;SEC 2¯;ENRICO FERMI;TOTD04901P;0010864001;4;SEC 2;ENRICO FERMI;TOTD04901P;0010864003;4;SEC 2;GALILEO GALILEI;TOPS04901V;0010864002;;;;;;;;;;
TO100613;0011250031;TO;Provincia;Ivrea;001125;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;capoluogo;Via Dora Baltea, 3;03. Provincia;Si;SEC 2-SEC 2-SEC 2-;4;SEC 2¯;G. CENA;TORC024013;0011254011;4;SEC 2;G. CENA;TOTD02401A;0011254002;4;SEC 2;G. CENA;TOTD02401A;0011254009;;;;;;;;;;
TO100614;0011750004;TO;Provincia;Oulx;001175;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;VIA MARTIN LUTHER KING , 10;03. Provincia;Si;SEC 2-SEC 2-SEC 2-SEC 2-SEC 2-;4;SEC 2¯;L. DES AMBROIS;TOPC00101P;0011754003;4;SEC 2;L. DES AMBROIS;TOPC00101P;0011754008;4;SEC 2;L. DES AMBROIS;TOPC00101P;0011754009;4;SEC 2;L. DES AMBROIS;TORC00101A;0011754007;4;SEC 2;L. DES AMBROIS;TOTD00101N;0011754006
TO100615;0012170014;TO;Provincia;Rivarolo Canavese;001217;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;capoluogo;Via Gallo Pecca, 4/6;03. Provincia;Si;SEC 2-;4;SEC 2¯;A. MORO;TOTF00401B;0012174006;;;;;
TO100616;0011960004;TO;Comune;Piverone;001196;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;Capoluogo;strada blanda, 35;04. Comune;Si;INF-;1;INF;BRUNO MUNARI;TOAA894057;0011961002;;;;;
TO100617;0012750001;TO;Comune;Torre Pellice;001275;Utilizzato per uso scolastico;In compilazione;Sç;DIDATTICA;SI;CAPOLUOGO;VIALE RIMEMBRANZA, 13/15;03. Provincia;Si;INF-SEC 1-;1;INF;.;TOAA81301A;0012751003;3;SEC 1;LEONARDO DA VINCI;TOMM81301E;0012753002
TO100618;0012090002;TO;Comune;Quassolo;001209;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;No;CAPOLUOGO;VIA SOLFERINO , 2;04. Comune;Si;INF-;1;INF;GENTINO MARTINALLO;TO1A275001;0012091001;;;;;
TO100619;0012530003;TO;Comune;San Sebastiano Da Po;001253;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;VIA MORO ALDO, 1;04. Comune;Si;INF-;1;INF;IL GIARDINO DELLE MELE;TOAA09904A;0012531001;;;;;
TO100621;0011970009;TO;Comune;Poirino;001197;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;CAPOLUOGO;STRADA VECCHIA DELLE POSTE, 12;04. Comune;Si;INF-;1;INF;.;TOAA857058;0011971003;;;;;
TO100622;0012800015;TO;Comune;Trofarello;001280;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;VALLE SAUGLIO;VIA CASAVECCHIA , 6;04. Comune;Si;INF-;1;INF;CARDINAL MASSAJA;TOAA83202R;0012801006;;;;;
TO100624;0010250005;TO;Comune;Bibiana;001025;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;VIALE RIMEMBRANZA, 6;04. Comune;Si;INF-;1;INF;.;TOAA84202B;0010251002;;;;;
TO100625;0010720003;TO;Comune;Ceres;001072;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;CAPOLUOGO;V. LANZO, 6;06. Enti religiosi;Si;INF-;1;INF;.;TOAA80904T;0010721002;;;;;
TO100626;0011890010;TO;Comune;Pianezza;001189;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;capoluogo;VIA PAVESE CESARE, 20;04. Comune;Si;INF-;1;INF;MADRE TERESA DI CALCUTTA;TOAA89704N;0011891006;;;;;
TO100627;0013010003;TO;Comune;Villanova Canavese;001301;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;CAPOLUOGO;VIA DELLA PACE, 3;04. Comune;Si;INF-;1;INF;COLLODI;TOAA830014;0013011001;;;;;
